ITEM NAME,ITEM DESCRIPTION,PRICE 
VEG FLAT NOODLES,fresh hand-pulled flat noodles In hearty broth topped with Vegges vagan(Brocolie.Carrot. Mushrooms.Baby Spinach),10
BUFF FLAT NOODLES,"100% organic/antibiotices free buffalo /soup bone with with vegan(Brocolie,Carrot,Mushrooms,Baby Spinach)",13.5
CHICKEN FLAT NOODLES,"fresh hand-pulled flat noodles In hearty broth topped with Vegtables(Brocolie, Carrot, Mushrooms, Baby Spinach)",11
BEEF FLAT NOODLES,"fresh hand-pulled flat noodles In hearty broth topped with Vegtables(Brocolie,Carrot, Mushrooms, Baby Spinach)",11.5
